240,1.7395,0.91918,1.1056,1.5352,0.86588,0.94376,1.5129,0.69872,0.75341,1.4857,0.66167,0.76109
241,1.7388,0.91833,1.1051,1.5348,0.86466,0.94322,1.5126,0.69742,0.75283,1.4853,0.66069,0.76035
242,1.738,0.91749,1.1046,1.5344,0.86344,0.94268,1.5123,0.69611,0.75226,1.4849,0.65972,0.75962
243,1.7372,0.91665,1.1041,1.534,0.86222,0.94215,1.5119,0.69481,0.75169,1.4844,0.65874,0.75889
244,1.7365,0.91581,1.1036,1.5336,0.86101,0.94161,1.5116,0.69352,0.75112,1.484,0.65777,0.75816
245,1.7357,0.91497,1.1031,1.5332,0.85981,0.94107,1.5113,0.69223,0.75055,1.4836,0.65681,0.75744
246,1.735,0.91413,1.1026,1.5328,0.85861,0.94054,1.511,0.69094,0.74999,1.4832,0.65585,0.75671
247,1.7343,0.91329,1.1021,1.5324,0.85741,0.94,1.5107,0.68965,0.74943,1.4828,0.65489,0.75599
248,1.7335,0.91246,1.1016,1.532,0.85622,0.93946,1.5104,0.68837,0.74886,1.4824,0.65394,0.75527
249,1.7328,0.91162,1.101,1.5317,0.85503,0.93893,1.5101,0.68709,0.7483,1.482,0.65299,0.75455
250,1.7321,0.91079,1.1005,1.5313,0.85385,0.93839,1.5098,0.68581,0.74774,1.4815,0.65205,0.75383
251,1.7313,0.90996,1.1,1.5309,0.85267,0.93786,1.5095,0.68454,0.74719,1.4811,0.65111,0.75312
252,1.7306,0.90913,1.0995,1.5305,0.8515,0.93732,1.5092,0.68326,0.74663,1.4807,0.65017,0.7524
253,1.7299,0.9083,1.099,1.5302,0.85033,0.93679,1.5089,0.682,0.74608,1.4803,0.64924,0.75169
254,1.7292,0.90747,1.0985,1.5298,0.84917,0.93625,1.5086,0.68073,0.74552,1.4799,0.64831,0.75098
